    1   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.3193532526   0.1293500066
    2   0.4574999809  -0.3568617404   0.0000022235   2.9100000858   0.1245231926   0.2407031208
    3   0.4889999926  -0.7585775256   0.0000009216   4.5000000000   0.0950674638   0.2035374939
    4   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1866606474   0.2183749974
    5   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.2548026741   0.2183749974
    6   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.1723803282   0.0996749997
    7   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.2064542621   0.2183749974
    8   0.4889999926  -0.2966832519   0.0000009216   7.6799998283   0.1434992999   0.1738625020
    9   0.4889999926  -0.4453102946   0.0000009216   6.8849997520   0.2789673507   0.1812812537
   11   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.3544005156   0.2183749974
   16   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1157173738   0.2183749974
   17   0.4889999926  -0.2966832519   0.0000009216   7.6799998283   0.0399680361   0.1738625020
   18   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.3180758953   0.0848374963
   20   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.2882262468   0.1293500066
   21   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.3090860844   0.1516062468
   22   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.0772683024   0.1590249985
   24   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.2588648498   0.1293500066
   26   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.2682897151   0.1145125031
   27   0.3755999804  -0.0502342544   0.0000141000   2.9100000858   0.1723803282   0.2711150050
   31   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.2882262468   0.1293500066
   32   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.3155159950   0.1664437503
   34   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.3457705677   0.2183749974
   35   0.4889999926  -0.7585775256   0.0000009216   4.5000000000   0.2078587562   0.2035374939
   36   0.4469999969  -0.2309867591   0.0000029822   8.1700000763   0.2055172473   0.2026249915
   37   0.4511999786  -0.3069022000   0.0000026518   2.9100000858   0.1142470166   0.2444600016
   38   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1637590528   0.2183749974
   39   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.0921067968   0.1145125031
   41   0.4133999944  -0.1241652220   0.0000076302   4.5000000000   0.0623782873   0.2500374913
   42   0.4889999926  -0.7585775256   0.0000009216   4.5000000000   0.0772683024   0.2035374939
   44   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1289152205   0.2183749974
   45   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1289152205   0.2183749974
   47   0.4889999926  -0.7585775256   0.0000009216   2.9100000858   0.1464052498   0.2183749974
   48   0.4889999926  -0.2309867591   0.0000009216   8.1700000763   0.1303775758   0.1293500066
   50   0.4889999926  -0.4453102946   0.0000009216   6.8849997520   0.1994128227   0.1812812537
